loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
5.496277236938477,6.27449369430542,7.5e-05,0.12903225806451613,5,,,,,
3.8186073303222656,2.238168239593506,0.00014996885072428884,0.25806451612903225,10,,,,,
3.1445056915283205,1.79169762134552,0.0001488813404448896,0.3870967741935484,15,,,,,
2.8147048950195312,1.3349758386611938,0.00014626214400218927,0.5161290322580645,20,,,,,
2.636532020568848,1.4049091339111328,0.00014216556180446542,0.6451612903225806,25,,,,,
2.424738311767578,1.447540044784546,0.0001366765229858038,0.7741935483870968,30,,,,,
2.2113142013549805,1.4721498489379883,0.00012990882468033515,0.9032258064516129,35,,,,,
2.028536796569824,1.5493738651275635,0.00012200277281360792,1.0258064516129033,40,,,,,
1.654410171508789,1.8262829780578613,0.00011312227332151458,1.1548387096774193,45,,,,,
1.526362991333008,1.7216999530792236,0.00010345143410076267,1.2838709677419355,50,,,,,
1.4129826545715332,1.7098572254180908,9.319074813825167e-05,1.4129032258064516,55,,,,,
1.2255958557128905,1.9562797546386719,8.255293694959186e-05,1.5419354838709678,60,,,,,
1.1469882011413575,1.8928605318069458,7.175854049937194e-05,1.6709677419354838,65,,,,,
1.0157269477844237,2.009145736694336,6.1031345031647966e-05,1.8,70,,,,,
1.044717788696289,1.9194062948226929,5.059374359952368e-05,1.9290322580645163,75,,,,,
0.842855167388916,2.014481782913208,4.0662125477954996e-05,2.0516129032258066,80,,,,,
0.6997257232666015,2.0159173011779785,3.144239004511223e-05,2.1806451612903226,85,,,,,
0.6524320602416992,1.9476749897003174,2.312567813718961e-05,2.3096774193548386,90,,,,,
0.6103980064392089,1.8519504070281982,1.5884409372954435e-05,2.4387096774193546,95,,,,,
0.5897430419921875,2.161125659942627,9.868707601055572e-06,2.567741935483871,100,,,,,
0.573939037322998,1.8684279918670654,5.203288576663095e-06,2.696774193548387,105,,,,,
0.5538623332977295,1.9285169839859009,1.9848743912094956e-06,2.825806451612903,110,,,,,
0.5381133079528808,1.885411262512207,2.8018825851231496e-07,2.9548387096774196,115,,,,,
,,,3.0,117,1169.6891,3.173,0.1,3411362888950272.0,1.6628595672102056
